reltime,datetime,sdnn,rmssd
0.001,2024/06/05 13:46:18.4069,29.914950611461705,26.756616544802892
0.001,2024/06/05 13:46:18.4069,29.914950611461705,26.756616544802892
0.046,2024/06/05 13:46:18.4519,29.914950611461705,26.756616544802892
0.505,2024/06/05 13:46:18.9109,29.914950611461705,26.756616544802892
0.784,2024/06/05 13:46:19.1899,29.914950611461705,26.756616544802892
0.998,2024/06/05 13:46:19.4039,29.914950611461705,26.756616544802892
1.031,2024/06/05 13:46:19.4369,29.914950611461705,26.756616544802892
1.277,2024/06/05 13:46:19.6829,29.914950611461705,26.756616544802892
1.737,2024/06/05 13:46:20.1429,29.914950611461705,26.756616544802892
2.475,2024/06/05 13:46:20.8809,29.914950611461705,26.756616544802892
2.508,2024/06/05 13:46:20.9139,29.914950611461705,26.756616544802892
2.755,2024/06/05 13:46:21.1609,29.914950611461705,26.756616544802892
3.001,2024/06/05 13:46:21.4069,29.914950611461705,26.756616544802892
3.214,2024/06/05 13:46:21.6199,29.914950611461705,26.756616544802892
3.707,2024/06/05 13:46:22.1129,29.914950611461705,26.756616544802892
4.692,2024/06/05 13:46:23.0979,29.914950611461705,26.756616544802892
5.185,2024/06/05 13:46:23.5909,29.914950611461705,26.756616544802892
5.677,2024/06/05 13:46:24.0829,29.914950611461705,26.756616544802892
5.711,2024/06/05 13:46:24.1169,29.914950611461705,26.756616544802892
5.956,2024/06/05 13:46:24.3619,29.914950611461705,26.756616544802892
6.203,2024/06/05 13:46:24.6089,29.914950611461705,26.756616544802892
6.416,2024/06/05 13:46:24.8219,29.914950611461705,26.756616544802892
6.908,2024/06/05 13:46:25.3139,29.914950611461705,26.756616544802892
7.4,2024/06/05 13:46:25.8059,29.914950611461705,26.756616544802892
7.893,2024/06/05 13:46:26.2989,29.914950611461705,26.756616544802892
8.386,2024/06/05 13:46:26.7919,29.914950611461705,26.756616544802892
8.912,2024/06/05 13:46:27.3179,29.914950611461705,26.756616544802892
9.125,2024/06/05 13:46:27.5309,29.914950611461705,26.756616544802892
9.158,2024/06/05 13:46:27.5639,29.914950611461705,26.756616544802892
9.405,2024/06/05 13:46:27.8109,29.914950611461705,26.756616544802892
9.617,2024/06/05 13:46:28.0229,29.914950611461705,26.756616544802892
10.11,2024/06/05 13:46:28.5159,29.914950611461705,26.756616544802892
11.095,2024/06/05 13:46:29.5009,29.914950611461705,26.756616544802892
11.587,2024/06/05 13:46:29.9929,29.914950611461705,26.756616544802892
12.08,2024/06/05 13:46:30.4859,29.914950611461705,26.756616544802892
12.113,2024/06/05 13:46:30.5189,29.914950611461705,26.756616544802892
12.36,2024/06/05 13:46:30.7659,29.914950611461705,26.756616544802892
12.606,2024/06/05 13:46:31.0119,29.914950611461705,26.756616544802892
12.819,2024/06/05 13:46:31.2249,29.914950611461705,26.756616544802892
13.312,2024/06/05 13:46:31.7179,29.914950611461705,26.756616544802892
15.281,2024/06/05 13:46:33.6869,29.914950611461705,26.756616544802892
15.315,2024/06/05 13:46:33.7209,29.914950611461705,26.756616544802892
15.562,2024/06/05 13:46:33.9679,29.914950611461705,26.756616544802892
15.807,2024/06/05 13:46:34.2129,29.914950611461705,26.756616544802892
16.021,2024/06/05 13:46:34.4269,29.914950611461705,26.756616544802892
16.513,2024/06/05 13:46:34.9189,29.914950611461705,26.756616544802892
17.006,2024/06/05 13:46:35.4119,29.914950611461705,26.756616544802892
17.498,2024/06/05 13:46:35.9039,29.914950611461705,26.756616544802892
17.991,2024/06/05 13:46:36.3969,29.914950611461705,26.756616544802892
18.517,2024/06/05 13:46:36.9229,29.914950611461705,26.756616544802892
18.729,2024/06/05 13:46:37.1349,29.914950611461705,26.756616544802892
18.763,2024/06/05 13:46:37.1689,29.914950611461705,26.756616544802892
19.714,2024/06/05 13:46:38.1199,29.914950611461705,26.756616544802892
20.207,2024/06/05 13:46:38.6129,29.914950611461705,26.756616544802892
20.7,2024/06/05 13:46:39.1059,29.914950611461705,26.756616544802892
21.192,2024/06/05 13:46:39.5979,29.914950611461705,26.756616544802892
21.718,2024/06/05 13:46:40.1239,29.914950611461705,26.756616544802892
21.93,2024/06/05 13:46:40.3359,29.914950611461705,26.756616544802892
21.964,2024/06/05 13:46:40.3699,29.914950611461705,26.756616544802892
22.211,2024/06/05 13:46:40.6169,29.914950611461705,26.756616544802892
22.423,2024/06/05 13:46:40.8289,29.914950611461705,26.756616544802892
24.398,2024/06/05 13:46:42.8039,29.914950611461705,26.756616544802892
25.132,2024/06/05 13:46:43.5379,29.914950611461705,26.756616544802892
25.166,2024/06/05 13:46:43.5719,29.914950611461705,26.756616544802892
25.413,2024/06/05 13:46:43.8189,29.914950611461705,26.756616544802892
25.625,2024/06/05 13:46:44.0309,29.914950611461705,26.756616544802892
26.61,2024/06/05 13:46:45.0159,29.914950611461705,26.756616544802892
27.102,2024/06/05 13:46:45.5079,29.914950611461705,26.756616544802892
27.136,2024/06/05 13:46:45.5419,29.914950611461705,26.756616544802892
27.349,2024/06/05 13:46:45.7549,29.914950611461705,26.756616544802892
27.383,2024/06/05 13:46:45.7889,29.914950611461705,26.756616544802892
27.629,2024/06/05 13:46:46.0349,29.914950611461705,26.756616544802892
27.875,2024/06/05 13:46:46.2809,29.914950611461705,26.756616544802892
28.088,2024/06/05 13:46:46.4939,29.914950611461705,26.756616544802892
28.121,2024/06/05 13:46:46.5269,29.914950611461705,26.756616544802892
28.367,2024/06/05 13:46:46.7729,29.914950611461705,26.756616544802892
28.614,2024/06/05 13:46:47.0199,29.914950611461705,26.756616544802892
