reltime,datetime,sdnn,rmssd
0.001,2024/06/13 13:46:34.4369,,
0.001,2024/06/13 13:46:34.4369,,
0.525,2024/06/13 13:46:34.9609,,
1.017,2024/06/13 13:46:35.4529,,
1.426,2024/06/13 13:46:35.8619,,
1.673,2024/06/13 13:46:36.1089,,
1.756,2024/06/13 13:46:36.1919,,
1.919,2024/06/13 13:46:36.3549,,
2.248,2024/06/13 13:46:36.6839,,
2.74,2024/06/13 13:46:37.1759,100.79621906489238,
3.726,2024/06/13 13:46:38.1619,104.66049007060009,165.0115147497289
3.972,2024/06/13 13:46:38.4079,99.82936198910375,162.74128939125214
4.627,2024/06/13 13:46:39.0629,95.57934011286254,155.83458110017386
4.874,2024/06/13 13:46:39.3099,91.82966194638207,149.7210226233598
4.957,2024/06/13 13:46:39.3929,88.78261305544223,144.46873116946202
5.12,2024/06/13 13:46:39.5559,85.77351475445863,139.75717035868558
5.45,2024/06/13 13:46:39.8859,83.64846786684492,135.74562608054816
5.943,2024/06/13 13:46:40.3789,81.66368541977437,131.69260106957637
6.435,2024/06/13 13:46:40.8709,80.17480901130979,128.01887881610796
7.174,2024/06/13 13:46:41.6099,78.71139822494781,124.60463791317595
7.666,2024/06/13 13:46:42.1019,77.51202671659597,121.4596640864777
7.83,2024/06/13 13:46:42.2659,75.89131269118583,119.71752467490177
8.076,2024/06/13 13:46:42.5119,74.36638813196771,116.9650297388847
8.322,2024/06/13 13:46:42.7579,72.92838208162497,114.39405578962571
8.651,2024/06/13 13:46:43.0869,71.8149937919188,112.74491858468241
9.143,2024/06/13 13:46:43.5789,70.3670486695409,110.67610401527513
9.553,2024/06/13 13:46:43.9889,69.19317276072226,108.68621029225514
9.637,2024/06/13 13:46:44.0729,68.29480137008888,106.68385278215464
9.799,2024/06/13 13:46:44.2349,67.21740699369222,104.7902667235846
10.046,2024/06/13 13:46:44.4819,66.18854990050042,102.96768826960333
10.291,2024/06/13 13:46:44.7269,66.18854990050042,101.23701562834285
10.375,2024/06/13 13:46:44.8109,63.926538298664155,100.38060901721342
10.539,2024/06/13 13:46:44.9749,63.976288711063724,99.41763760352922
10.784,2024/06/13 13:46:45.2199,63.81348540504766,99.3847741524492
11.36,2024/06/13 13:46:45.7959,63.80628009303116,99.48534230394613
11.523,2024/06/13 13:46:45.9589,63.86066909664559,99.60739597707257
11.607,2024/06/13 13:46:46.0429,63.56692554299371,99.77591559756961
11.769,2024/06/13 13:46:46.2049,63.62885378884928,99.9441510711524
12.016,2024/06/13 13:46:46.4519,63.682807727046715,99.94398431121304
12.262,2024/06/13 13:46:46.6979,36.49136254279748,84.76713199505258
12.346,2024/06/13 13:46:46.7819,26.98113432002816,37.44551597543646
12.508,2024/06/13 13:46:46.9439,27.01810801887392,28.16913204200655
12.755,2024/06/13 13:46:47.1909,27.01810801887392,28.121166405396487
12.838,2024/06/13 13:46:47.2739,26.996806963174286,28.221150460839354
13.001,2024/06/13 13:46:47.4369,26.76453305935032,27.855579931736
13.247,2024/06/13 13:46:47.6829,26.76453305935032,27.382476148076893
13.493,2024/06/13 13:46:47.9289,25.911631436058965,26.232930958371135
13.577,2024/06/13 13:46:48.0129,25.116761816323557,26.511632666938237
13.74,2024/06/13 13:46:48.1759,23.20545417457442,26.511632666938237
14.07,2024/06/13 13:46:48.5059,22.907735981892436,27.648990337201585
14.478,2024/06/13 13:46:48.9139,20.071395555372494,28.713527590086642
14.808,2024/06/13 13:46:49.2439,22.662339005393957,26.907867498806613
15.301,2024/06/13 13:46:49.7369,25.99204122220015,27.046872893799264
15.793,2024/06/13 13:46:50.2289,29.10377784854526,27.06904751433514
16.202,2024/06/13 13:46:50.6379,28.255403307897694,26.913441499245938
16.449,2024/06/13 13:46:50.8849,28.318062145531126,26.187783411354232
16.532,2024/06/13 13:46:50.9679,31.0813541325446,28.148416178061126
16.695,2024/06/13 13:46:51.1309,30.1327522576464,30.38475494937113
17.025,2024/06/13 13:46:51.4609,32.81857127739813,33.02120530810467
17.517,2024/06/13 13:46:51.9529,35.13363650112397,33.02574753128232
18.009,2024/06/13 13:46:52.4449,36.98996446692504,33.02625218418422
18.748,2024/06/13 13:46:53.1839,38.064736146872804,33.03230741763787
19.24,2024/06/13 13:46:53.6759,38.48482310204133,33.055004663943606
19.403,2024/06/13 13:46:53.8389,37.49913408961968,35.1207441075309
19.65,2024/06/13 13:46:54.0859,37.48691725812158,34.53452378900473
19.734,2024/06/13 13:46:54.1699,37.75244530406997,36.06429443831299
19.896,2024/06/13 13:46:54.3319,37.86303204185201,37.031068037527625
21.705,2024/06/13 13:46:56.1409,37.52148809636328,37.41390115986303
22.196,2024/06/13 13:46:56.6319,36.921725218405804,37.415682986327184
22.605,2024/06/13 13:46:57.0409,35.99303891830652,38.5132011999349
22.851,2024/06/13 13:46:57.2869,36.112993172293045,37.979380370581794
22.935,2024/06/13 13:46:57.3709,35.868533900034805,39.19566302539096
23.098,2024/06/13 13:46:57.5339,35.157919596370355,40.69766578072998
